year,month,price,dividend,cpi,gs10,stock_tr_index,bond_tr_index
1871,1,4.440000,0.260000,12.464061,5.320000,1.000000,1.000000
1871,2,4.500000,0.260000,12.844641,5.323333,1.018393,1.004177
1871,3,4.610000,0.260000,13.034972,5.326667,1.048191,1.008374
1871,4,4.740000,0.260000,12.559226,5.330000,1.082676,1.012592
1871,5,4.860000,0.260000,12.273812,5.333333,1.115034,1.016830
1871,6,4.820000,0.260000,12.083481,5.336667,1.110828,1.021089
1871,7,4.730000,0.260000,12.083481,5.340000,1.095080,1.025368
1871,8,4.790000,0.260000,11.893231,5.343333,1.113987,1.029668
1871,9,4.840000,0.260000,12.178646,5.346667,1.130654,1.033989
1871,10,4.590000,0.260000,12.368896,5.350000,1.077314,1.038332
1871,11,4.640000,0.260000,12.368896,5.353333,1.094135,1.042695
1871,12,4.740000,0.260000,12.654392,5.356667,1.122825,1.047080
1872,1,4.860000,0.263300,12.654392,5.360000,1.156448,1.051486
1872,2,4.880000,0.266700,12.654392,5.378333,1.166496,1.054703
1872,3,5.040000,0.270000,12.844641,5.396667,1.210120,1.057948
1872,4,5.180000,0.273300,13.130137,5.415000,1.249202,1.061220
1872,5,5.180000,0.276700,13.130137,5.433333,1.254763,1.064520
1872,6,5.130000,0.280000,13.034972,5.451667,1.248304,1.067847
1872,7,5.100000,0.283300,12.844641,5.470000,1.246748,1.071203
1872,8,5.040000,0.286700,12.939807,5.488333,1.237921,1.074586
1872,9,4.950000,0.290000,13.034972,5.506667,1.221751,1.077998
1872,10,4.970000,0.293300,12.749476,5.525000,1.232720,1.081439
1872,11,4.950000,0.296700,13.130137,5.543333,1.233892,1.084908
1872,12,5.070000,0.300000,12.939807,5.561667,1.270037,1.088406
1873,1,5.110000,0.302500,12.939807,5.580000,1.286371,1.091933
1873,2,5.150000,0.305000,13.225221,5.570833,1.302839,1.097772
1873,3,5.110000,0.307500,13.225221,5.561667,1.299203,1.103634
1873,4,5.040000,0.310000,13.225221,5.552500,1.287973,1.109519
1873,5,5.050000,0.312500,12.939807,5.543333,1.297184,1.115428
1873,6,4.980000,0.315000,12.559226,5.534167,1.285946,1.121359
1873,7,4.970000,0.317500,12.559226,5.525000,1.290196,1.127314
1873,8,4.970000,0.320000,12.559226,5.515833,1.297118,1.133293
1873,9,4.590000,0.322500,12.559226,5.506667,1.204956,1.139294
1873,10,4.190000,0.325000,12.273812,5.497500,1.107059,1.145319
1873,11,4.040000,0.327500,11.893231,5.488333,1.074638,1.151368
1873,12,4.420000,0.330000,12.178646,5.479167,1.183032,1.157440
1874,1,4.660000,0.330000,12.368896,5.470000,1.254630,1.163535
1874,2,4.800000,0.330000,12.368896,5.436667,1.299727,1.171807
1874,3,4.730000,0.330000,12.368896,5.403333,1.288219,1.180110
1874,4,4.600000,0.330000,12.178646,5.370000,1.260303,1.188443
1874,5,4.480000,0.330000,12.083481,5.336667,1.234960,1.196806
1874,6,4.460000,0.330000,11.798066,5.303333,1.237027,1.205200
1874,7,4.460000,0.330000,11.893231,5.270000,1.244655,1.213624
1874,8,4.470000,0.330000,11.798066,5.236667,1.255120,1.222078
1874,9,4.540000,0.330000,11.798066,5.203333,1.282497,1.230561
1874,10,4.530000,0.330000,11.607736,5.170000,1.287440,1.239075
1874,11,4.570000,0.330000,11.512651,5.136667,1.306624,1.247617
1874,12,4.540000,0.330000,11.512651,5.103333,1.305909,1.256189
1875,1,4.540000,0.327500,11.512651,5.070000,1.313759,1.264789
1875,2,4.530000,0.325000,11.512651,5.030000,1.318703,1.274077
1875,3,4.590000,0.322500,11.512651,4.990000,1.343992,1.283397
1875,4,4.650000,0.320000,11.607736,4.950000,1.369369,1.292751
1875,5,4.470000,0.317500,11.322321,4.910000,1.324153,1.302136
1875,6,4.380000,0.315000,11.132071,4.870000,1.305268,1.311554
1875,7,4.390000,0.312500,11.132071,4.830000,1.316009,1.321005
1875,8,4.410000,0.310000,11.227155,4.790000,1.329749,1.330486
1875,9,4.370000,0.307500,11.132071,4.750000,1.325414,1.339999
1875,10,4.300000,0.305000,11.132071,4.710000,1.311892,1.349544
1875,11,4.370000,0.302500,11.036906,4.670000,1.340939,1.359119
1875,12,4.370000,0.300000,10.941740,4.630000,1.348611,1.368725
1876,1,4.460000,0.300000,10.846575,4.590000,1.384100,1.378361
1876,2,4.520000,0.300000,10.846575,4.578333,1.410479,1.384913
1876,3,4.510000,0.300000,10.846575,4.566667,1.415160,1.391483
1876,4,4.340000,0.300000,10.751491,4.555000,1.369661,1.398072
1876,5,4.180000,0.300000,10.370911,4.543333,1.327057,1.404679
1876,6,4.150000,0.300000,10.085415,4.531667,1.325469,1.411304
1876,7,4.100000,0.300000,10.085415,4.520000,1.317484,1.417948
1876,8,3.930000,0.300000,10.180580,4.508333,1.270890,1.424610
1876,9,3.690000,0.300000,10.275745,4.496667,1.201363,1.431290
1876,10,3.670000,0.300000,10.465995,4.485000,1.202991,1.437988
1876,11,3.600000,0.300000,10.561160,4.473333,1.188241,1.444704
1876,12,3.580000,0.300000,10.751491,4.461667,1.189891,1.451438
1877,1,3.550000,0.290800,10.941740,4.450000,1.187974,1.458190
1877,2,3.340000,0.281700,10.656326,4.440833,1.125555,1.464668
1877,3,3.170000,0.272500,10.180580,4.431667,1.075919,1.471165
1877,4,2.940000,0.263300,10.465995,4.422500,1.005303,1.477679
1877,5,2.940000,0.254200,10.656326,4.413333,1.012546,1.484211
1877,6,2.730000,0.245000,10.085415,4.404167,0.947253,1.490761
1877,7,2.850000,0.235800,10.180580,4.395000,0.995709,1.497329
1877,8,3.050000,0.226700,9.800000,4.385833,1.072183,1.503915
1877,9,3.240000,0.217500,9.704835,4.376667,1.145347,1.510519
1877,10,3.310000,0.208300,9.704835,4.367500,1.176228,1.517141
1877,11,3.260000,0.199200,9.514585,4.358333,1.164359,1.523781
1877,12,3.250000,0.190000,9.514585,4.349167,1.166443,1.530439
1878,1,3.250000,0.189200,9.229089,4.340000,1.172101,1.537115
1878,2,3.180000,0.188300,9.134005,4.330000,1.152515,1.543911
1878,3,3.240000,0.187500,8.943674,4.320000,1.179924,1.550726
1878,4,3.330000,0.186700,8.848509,4.310000,1.218365,1.557558
1878,5,3.340000,0.185800,8.563094,4.300000,1.227689,1.564408
1878,6,3.410000,0.185000,8.372845,4.290000,1.259086,1.571276
1878,7,3.480000,0.184200,8.467929,4.280000,1.290600,1.578161
1878,8,3.450000,0.183300,8.563094,4.270000,1.285139,1.585064
1878,9,3.520000,0.182500,8.563094,4.260000,1.316879,1.591984
1878,10,3.480000,0.181700,8.467929,4.250000,1.307579,1.598922
1878,11,3.470000,0.180800,8.372845,4.240000,1.309483,1.605877
1878,12,3.450000,0.180000,8.182514,4.230000,1.307596,1.612850
1879,1,3.580000,0.181700,8.277679,4.220000,1.362607,1.619841
1879,2,3.710000,0.183300,8.372845,4.203333,1.417901,1.627723
1879,3,3.650000,0.185000,8.277679,4.186667,1.400862,1.635624
1879,4,3.770000,0.186700,8.182514,4.170000,1.452889,1.643541
1879,5,3.940000,0.188300,8.182514,4.153333,1.524451,1.651476
1879,6,3.960000,0.190000,8.087381,4.136667,1.538316,1.659428
1879,7,4.040000,0.191700,8.182514,4.120000,1.575598,1.667396
1879,8,4.070000,0.193300,8.182514,4.103333,1.593581,1.675382
1879,9,4.220000,0.195000,8.467929,4.086667,1.658675,1.683384
1879,10,4.680000,0.196700,8.943674,4.070000,1.845921,1.691403
1879,11,4.930000,0.198300,9.419420,4.053333,1.951046,1.699439
1879,12,4.920000,0.200000,9.704835,4.036667,1.953684,1.707491
1880,1,5.110000,0.205000,9.990331,4.020000,2.035915,1.715559
1880,2,5.200000,0.210000,9.990331,3.993333,2.078745,1.725047
1880,3,5.300000,0.215000,10.085415,3.966667,2.125883,1.734554
1880,4,5.180000,0.220000,9.704835,3.940000,2.085103,1.744079
1880,5,4.770000,0.225000,9.419420,3.913333,1.927614,1.753623
1880,6,4.790000,0.230000,9.229089,3.886667,1.943441,1.763185
1880,7,5.010000,0.235000,9.229089,3.860000,2.040647,1.772765
1880,8,5.190000,0.240000,9.229089,3.833333,2.122110,1.782362
1880,9,5.180000,0.245000,9.324255,3.806667,2.126369,1.791976
1880,10,5.330000,0.250000,9.324255,3.780000,2.196496,1.801608
1880,11,5.610000,0.255000,9.419420,3.753333,2.320641,1.811256
1880,12,5.840000,0.260000,9.514585,3.726667,2.424746,1.820920
1881,1,6.190000,0.265000,9.419420,3.700000,2.579234,1.830601
1881,2,6.170000,0.270000,9.514585,3.693333,2.580275,1.837257
1881,3,6.240000,0.275000,9.514585,3.686667,2.619133,1.843928
1881,4,6.220000,0.280000,9.609669,3.680000,2.620532,1.850613
1881,5,6.500000,0.285000,9.514585,3.673333,2.748504,1.857312
1881,6,6.580000,0.290000,9.514585,3.666667,2.792551,1.864026
1881,7,6.350000,0.295000,9.609669,3.660000,2.705372,1.870754
1881,8,6.200000,0.300000,9.800000,3.653333,2.652116,1.877496
1881,9,6.250000,0.305000,10.180580,3.646667,2.684377,1.884252
1881,10,6.150000,0.310000,10.275745,3.640000,2.652522,1.891022
1881,11,6.190000,0.315000,10.180580,3.633333,2.681096,1.897807
1881,12,6.010000,0.320000,10.180580,3.626667,2.614682,1.904605
1882,1,5.920000,0.320000,10.180580,3.620000,2.587129,1.911418
1882,2,5.790000,0.320000,10.275745,3.620833,2.541970,1.917052
1882,3,5.780000,0.320000,10.275745,3.621667,2.549288,1.922703
1882,4,5.780000,0.320000,10.370911,3.622500,2.561049,1.928373
1882,5,5.710000,0.320000,10.465995,3.623333,2.541849,1.934060
1882,6,5.680000,0.320000,10.561160,3.624167,2.540365,1.939766
1882,7,6.000000,0.320000,10.465995,3.625000,2.695410,1.945490
1882,8,6.180000,0.320000,10.561160,3.625833,2.788252,1.951232
1882,9,6.240000,0.320000,10.275745,3.626667,2.827354,1.956992
1882,10,6.070000,0.320000,10.180580,3.627500,2.762409,1.962771
1882,11,5.810000,0.320000,10.085415,3.628333,2.656221,1.968568
1882,12,5.840000,0.320000,9.990331,3.629167,2.682128,1.974384
1883,1,5.810000,0.320800,9.990331,3.630000,2.680628,1.980218
1883,2,5.680000,0.321700,10.085415,3.629167,2.633017,1.986346
1883,3,5.750000,0.322500,9.990331,3.628333,2.677925,1.992491
1883,4,5.870000,0.323300,9.895165,3.627500,2.746359,1.998654
1883,5,5.770000,0.324200,9.800000,3.626667,2.712213,2.004834
1883,6,5.820000,0.325000,9.514585,3.625833,2.748446,2.011032
1883,7,5.730000,0.325800,9.324255,3.625000,2.718766,2.017248
1883,8,5.470000,0.326700,9.324255,3.624167,2.608319,2.023481
1883,9,5.530000,0.327500,9.229089,3.623333,2.649943,2.029733
1883,10,5.380000,0.328300,9.229089,3.622500,2.591174,2.036002
1883,11,5.460000,0.329200,9.134005,3.621667,2.642917,2.042290
1883,12,5.340000,0.330000,9.229089,3.620833,2.598142,2.048595
1884,1,5.180000,0.328300,9.229089,3.620000,2.533607,2.054918
1884,2,5.320000,0.326700,9.229089,3.611667,2.615398,2.062543
1884,3,5.300000,0.325000,9.229089,3.603333,2.618881,2.070182
1884,4,5.060000,0.323300,9.038840,3.595000,2.513603,2.077836
1884,5,4.650000,0.321700,8.848509,3.586667,2.323249,2.085504
1884,6,4.460000,0.320000,8.848509,3.578333,2.241643,2.093186
1884,7,4.460000,0.318300,8.753425,3.570000,2.254975,2.100883
1884,8,4.740000,0.316700,8.753425,3.561667,2.409887,2.108594
1884,9,4.590000,0.315000,8.658260,3.553333,2.346970,2.116319
1884,10,4.440000,0.313300,8.563094,3.545000,2.283622,2.124058
1884,11,4.350000,0.311700,8.372845,3.536667,2.250692,2.131812
1884,12,4.340000,0.310000,8.277679,3.528333,2.258884,2.139579
1885,1,4.240000,0.304200,8.277679,3.520000,2.220030,2.147361
1885,2,4.370000,0.298300,8.372845,3.507500,2.301113,2.155905
1885,3,4.380000,0.292500,8.182514,3.495000,2.319214,2.164463
1885,4,4.370000,0.286700,8.277679,3.482500,2.326569,2.173033
1885,5,4.320000,0.280800,8.087381,3.470000,2.312408,2.181615
1885,6,4.300000,0.275000,7.897091,3.457500,2.313969,2.190211
1885,7,4.460000,0.269200,7.992232,3.445000,2.412142,2.198818
1885,8,4.710000,0.263300,7.992232,3.432500,2.559219,2.207438
1885,9,4.650000,0.257500,7.897091,3.420000,2.538277,2.216070
1885,10,4.920000,0.251700,7.897091,3.407500,2.697110,2.224714
1885,11,5.240000,0.245800,7.992232,3.395000,2.883761,2.233370
1885,12,5.200000,0.240000,8.182514,3.382500,2.872754,2.242038
1886,1,5.200000,0.238300,7.992232,3.370000,2.883725,2.250717
1886,2,5.300000,0.236700,7.992232,3.382500,2.950120,2.254670
1886,3,5.190000,0.235000,7.897091,3.395000,2.899791,2.258656
1886,4,5.120000,0.233300,7.801942,3.407500,2.871543,2.262673
1886,5,5.020000,0.231700,7.611652,3.420000,2.826287,2.266722
1886,6,5.250000,0.230000,7.516503,3.432500,2.966570,2.270803
1886,7,5.330000,0.228300,7.611652,3.445000,3.022525,2.274917
1886,8,5.370000,0.226700,7.706793,3.457500,3.055921,2.279064
1886,9,5.510000,0.225000,7.706793,3.470000,3.146261,2.283243
1886,10,5.650000,0.223300,7.706793,3.482500,3.236828,2.287455
1886,11,5.790000,0.221700,7.706793,3.495000,3.327617,2.291700
1886,12,5.640000,0.220000,7.801942,3.507500,3.251946,2.295978
1887,1,5.580000,0.222500,7.992232,3.520000,3.228041,2.300290
1887,2,5.540000,0.225000,8.087381,3.532500,3.215748,2.304635
1887,3,5.670000,0.227500,8.087381,3.545000,3.302212,2.309013
1887,4,5.800000,0.230000,8.087381,3.557500,3.389087,2.313426
1887,5,5.900000,0.232500,8.087381,3.570000,3.458841,2.317872
1887,6,5.730000,0.235000,7.992232,3.582500,3.370660,2.322352
1887,7,5.590000,0.237500,7.897091,3.595000,3.299948,2.326867
1887,8,5.450000,0.240000,7.992232,3.607500,3.229108,2.331416
1887,9,5.380000,0.242500,7.897091,3.620000,3.199607,2.336000
1887,10,5.200000,0.245000,7.992232,3.632500,3.104699,2.340618
1887,11,5.300000,0.247500,8.087381,3.645000,3.176719,2.345272
1887,12,5.270000,0.250000,8.277679,3.657500,3.171225,2.349960
1888,1,5.310000,0.248300,8.372845,3.670000,3.207746,2.354684
1888,2,5.280000,0.246700,8.277679,3.651667,3.202042,2.365472
1888,3,5.080000,0.245000,8.277679,3.633333,3.093134,2.376277
1888,4,5.100000,0.243300,8.182514,3.615000,3.117657,2.387098
1888,5,5.170000,0.241700,8.087381,3.596667,3.172761,2.397935
1888,6,5.010000,0.240000,7.992232,3.578333,3.086845,2.408788
1888,7,5.140000,0.238300,8.087381,3.560000,3.179178,2.419656
1888,8,5.250000,0.236700,8.087381,3.541667,3.259416,2.430539
1888,9,5.380000,0.235000,8.087381,3.523333,3.352283,2.441437
1888,10,5.350000,0.233300,8.182514,3.505000,3.345704,2.452351
1888,11,5.240000,0.231700,8.277679,3.486667,3.288989,2.463278
1888,12,5.140000,0.230000,8.277679,3.468333,3.238252,2.474220
1889,1,5.240000,0.229200,7.992232,3.450000,3.313286,2.485176
1889,2,5.300000,0.228300,7.897091,3.447500,3.363254,2.492843
1889,3,5.190000,0.227500,7.801942,3.445000,3.305481,2.500527
1889,4,5.180000,0.226700,7.801942,3.442500,3.311144,2.508230
1889,5,5.320000,0.225800,7.611652,3.440000,3.412663,2.515952
1889,6,5.410000,0.225000,7.611652,3.437500,3.482424,2.523692
1889,7,5.300000,0.224200,7.611652,3.435000,3.423643,2.531451
1889,8,5.370000,0.223300,7.611652,3.432500,3.480881,2.539229
1889,9,5.500000,0.222500,7.706793,3.430000,3.577167,2.547025
1889,10,5.400000,0.221700,7.706793,3.427500,3.524144,2.554840
1889,11,5.350000,0.220800,7.706793,3.425000,3.503521,2.562674
1889,12,5.320000,0.220000,7.801942,3.422500,3.495881,2.570526
1890,1,5.380000,0.220000,7.611652,3.420000,3.547355,2.578397
1890,2,5.320000,0.220000,7.611652,3.436667,3.519882,2.582139
1890,3,5.280000,0.220000,7.611652,3.453333,3.505547,2.585924
1890,4,5.390000,0.220000,7.611652,3.470000,3.590751,2.589754
1890,5,5.620000,0.220000,7.706793,3.486667,3.756188,2.593629
1890,6,5.580000,0.220000,7.706793,3.503333,3.741707,2.597548
1890,7,5.540000,0.220000,7.706793,3.520000,3.727178,2.601512
1890,8,5.410000,0.220000,7.992232,3.536667,3.652051,2.605520
1890,9,5.320000,0.220000,8.087381,3.553333,3.603672,2.609575
1890,10,5.080000,0.220000,8.087381,3.570000,3.453519,2.613674
1890,11,4.710000,0.220000,7.897091,3.586667,3.214447,2.617819
1890,12,4.600000,0.220000,7.897091,3.603333,3.151887,2.622010
1891,1,4.840000,0.220000,7.801942,3.620000,3.328895,2.626247
1891,2,4.900000,0.220000,7.897091,3.618333,3.382772,2.634534
1891,3,4.810000,0.220000,7.992232,3.616667,3.333296,2.642843
1891,4,4.970000,0.220000,8.087381,3.615000,3.456879,2.651175
1891,5,4.950000,0.220000,7.992232,3.613333,3.455720,2.659529
1891,6,4.850000,0.220000,7.801942,3.611667,3.398707,2.667906
1891,7,4.770000,0.220000,7.706793,3.610000,3.355493,2.676306
1891,8,4.930000,0.220000,7.706793,3.608333,3.480943,2.684729
1891,9,5.330000,0.220000,7.611652,3.606667,3.776317,2.693174
1891,10,5.330000,0.220000,7.611652,3.605000,3.789306,2.701643
1891,11,5.250000,0.220000,7.516503,3.603333,3.745465,2.710134
1891,12,5.410000,0.220000,7.516503,3.601667,3.872692,2.718648
1892,1,5.510000,0.221700,7.326213,3.600000,3.957501,2.727185
1892,2,5.520000,0.223300,7.326213,3.612500,3.978049,2.732529
1892,3,5.580000,0.225000,7.135923,3.625000,4.034801,2.737913
1892,4,5.570000,0.226700,7.040774,3.637500,4.041230,2.743338
1892,5,5.570000,0.228300,7.040774,3.650000,4.055033,2.748804
1892,6,5.540000,0.230000,7.040774,3.662500,4.047146,2.754312
1892,7,5.540000,0.231700,7.231072,3.675000,4.061252,2.759861
1892,8,5.620000,0.233300,7.326213,3.687500,4.134150,2.765451
1892,9,5.480000,0.235000,7.326213,3.700000,4.045570,2.771083
1892,10,5.590000,0.236700,7.326213,3.712500,4.141339,2.776757
1892,11,5.570000,0.238300,7.516503,3.725000,4.141234,2.782474
1892,12,5.510000,0.240000,7.611652,3.737500,4.111494,2.788233
1893,1,5.610000,0.240800,7.897091,3.750000,4.201086,2.794034
1893,2,5.510000,0.241700,7.992232,3.745833,4.141284,2.803729
1893,3,5.310000,0.242500,7.801942,3.741667,4.006154,2.813447
1893,4,5.310000,0.243300,7.706793,3.737500,4.021450,2.823190
1893,5,4.840000,0.244200,7.611652,3.733333,3.680914,2.832957
1893,6,4.610000,0.245000,7.421362,3.729167,3.521522,2.842748
1893,7,4.180000,0.245800,7.231072,3.725000,3.208697,2.852563
1893,8,4.080000,0.246700,6.945633,3.720833,3.147716,2.862402
1893,9,4.370000,0.247500,7.231072,3.716667,3.387362,2.872265
1893,10,4.500000,0.248300,7.326213,3.712500,3.504170,2.882153
1893,11,4.570000,0.249200,7.135923,3.708333,3.574850,2.892065
1893,12,4.410000,0.250000,7.040774,3.704167,3.465988,2.902001
1894,1,4.320000,0.246700,6.850483,3.700000,3.411411,2.911961
1894,2,4.380000,0.243300,6.755342,3.680000,3.474802,2.925772
1894,3,4.510000,0.240000,6.565052,3.660000,3.593802,2.939605
1894,4,4.570000,0.236700,6.565052,3.640000,3.657332,2.953459
1894,5,4.400000,0.233300,6.565052,3.620000,3.536841,2.967333
1894,6,4.340000,0.230000,6.565052,3.600000,3.504018,2.981227
1894,7,4.250000,0.226700,6.565052,3.580000,3.446607,2.995142
1894,8,4.410000,0.223300,6.755342,3.560000,3.591452,3.009076
1894,9,4.480000,0.220000,6.850483,3.540000,3.663390,3.023030
1894,10,4.340000,0.216700,6.660193,3.520000,3.563675,3.037003
1894,11,4.340000,0.213300,6.660193,3.500000,3.578271,3.050994
1894,12,4.300000,0.210000,6.565052,3.480000,3.559720,3.065004
1895,1,4.250000,0.208300,6.565052,3.460000,3.532698,3.079032
1895,2,4.190000,0.206700,6.565052,3.471667,3.497142,3.084900
1895,3,4.190000,0.205000,6.565052,3.483333,3.511401,3.090811
1895,4,4.370000,0.203300,6.850483,3.495000,3.676446,3.096764
1895,5,4.610000,0.201700,6.945633,3.506667,3.892497,3.102761
1895,6,4.700000,0.200000,7.040774,3.518333,3.982562,3.108802
1895,7,4.720000,0.198300,6.945633,3.530000,4.013512,3.114885
1895,8,4.790000,0.196700,6.850483,3.541667,4.086972,3.121013
1895,9,4.820000,0.195000,6.850483,3.553333,4.126434,3.127185
1895,10,4.750000,0.193300,6.850483,3.565000,4.080297,3.133401
1895,11,4.590000,0.191700,6.850483,3.576667,3.956578,3.139662
1895,12,4.320000,0.190000,6.755342,3.588333,3.737487,3.145967
1896,1,4.270000,0.189200,6.660193,3.600000,3.707869,3.152317
1896,2,4.450000,0.188300,6.565052,3.583333,3.877799,3.166154
1896,3,4.380000,0.187500,6.565052,3.566667,3.830416,3.180010
1896,4,4.420000,0.186700,6.469903,3.550000,3.879003,3.193887
1896,5,4.400000,0.185800,6.374754,3.533333,3.875039,3.207783
1896,6,4.320000,0.185000,6.279613,3.516667,3.818161,3.221699
1896,7,4.040000,0.184200,6.279613,3.500000,3.584255,3.235634
1896,8,3.810000,0.183300,6.279613,3.483333,3.393752,3.249587
1896,9,4.010000,0.182500,6.279613,3.466667,3.585449,3.263560
1896,10,4.100000,0.181700,6.469903,3.450000,3.679459,3.277550
1896,11,4.380000,0.180800,6.660193,3.433333,3.944260,3.291559
1896,12,4.220000,0.180000,6.660193,3.416667,3.813685,3.305585
1897,1,4.220000,0.180000,6.469903,3.400000,3.827241,3.319629
1897,2,4.180000,0.180000,6.469903,3.395833,3.804568,3.330198
1897,3,4.190000,0.180000,6.469903,3.391667,3.827323,3.340789
1897,4,4.060000,0.180000,6.374754,3.387500,3.722277,3.351403
1897,5,4.080000,0.180000,6.279613,3.383333,3.754365,3.362039
1897,6,4.270000,0.180000,6.279613,3.379167,3.943004,3.372697
1897,7,4.460000,0.180000,6.279613,3.375000,4.132305,3.383377
1897,8,4.750000,0.180000,6.565052,3.370833,4.414895,3.394080
1897,9,4.980000,0.180000,6.755342,3.366667,4.642611,3.404805
1897,10,4.820000,0.180000,6.660193,3.362500,4.507434,3.415552
1897,11,4.650000,0.180000,6.660193,3.358333,4.362486,3.426321
1897,12,4.750000,0.180000,6.660193,3.354167,4.470375,3.437113
1898,1,4.880000,0.181700,6.660193,3.350000,4.606973,3.447928
1898,2,4.870000,0.183300,6.755342,3.329167,4.611952,3.463613
1898,3,4.650000,0.185000,6.755342,3.308333,4.418209,3.479315
1898,4,4.570000,0.186700,6.755342,3.287500,4.356980,3.495034
1898,5,4.870000,0.188300,7.231072,3.266667,4.657956,3.510770
1898,6,5.060000,0.190000,6.755342,3.245833,4.854828,3.526522
1898,7,5.080000,0.191700,6.660193,3.225000,4.889344,3.542289
1898,8,5.270000,0.193300,6.660193,3.204167,5.087717,3.558071
1898,9,5.260000,0.195000,6.660193,3.183333,5.093751,3.573868
1898,10,5.150000,0.196700,6.660193,3.162500,5.003101,3.589680
1898,11,5.320000,0.198300,6.660193,3.141667,5.184306,3.605505
1898,12,5.650000,0.200000,6.755342,3.120833,5.522130,3.621344
1899,1,6.080000,0.200800,6.755342,3.100000,5.958753,3.637196
1899,2,6.310000,0.201700,6.945633,3.104167,6.200639,3.645300
1899,3,6.400000,0.202500,6.945633,3.108333,6.305662,3.653435
1899,4,6.480000,0.203300,7.040774,3.112500,6.401175,3.661601
1899,5,6.210000,0.204200,7.040774,3.116667,6.151269,3.669798
1899,6,6.070000,0.205000,7.135923,3.120833,6.029515,3.678026
1899,7,6.280000,0.205800,7.231072,3.125000,6.255150,3.686286
1899,8,6.440000,0.206700,7.326213,3.129167,6.431673,3.694578
1899,9,6.370000,0.207500,7.611652,3.133333,6.379033,3.702901
1899,10,6.340000,0.208300,7.706793,3.137500,6.366374,3.711257
1899,11,6.460000,0.209200,7.801942,3.141667,6.504379,3.719644
1899,12,6.020000,0.210000,7.897091,3.145833,6.078976,3.728063
1900,1,6.100000,0.217500,7.897091,3.150000,6.178062,3.736515
1900,2,6.210000,0.225000,7.992232,3.145833,6.308460,3.747648
1900,3,6.260000,0.232500,7.992232,3.141667,6.378935,3.758802
1900,4,6.340000,0.240000,7.992232,3.137500,6.480835,3.769976
1900,5,6.040000,0.247500,7.801942,3.133333,6.195254,3.781170
1900,6,5.860000,0.255000,7.706793,3.129167,6.032423,3.792385
1900,7,5.860000,0.262500,7.801942,3.125000,6.054942,3.803620
1900,8,5.940000,0.270000,7.706793,3.120833,6.160852,3.814876
1900,9,5.800000,0.277500,7.801942,3.116667,6.039631,3.826151
1900,10,6.010000,0.285000,7.706793,3.112500,6.283039,3.837447
1900,11,6.480000,0.292500,7.706793,3.108333,6.799874,3.848764
1900,12,6.870000,0.300000,7.611652,3.104167,7.235360,3.860101
1901,1,7.070000,0.301700,7.706793,3.100000,7.472475,3.871457
1901,2,7.250000,0.303300,7.611652,3.106667,7.689435,3.879258
1901,3,7.510000,0.305000,7.611652,3.113333,7.992152,3.887097
1901,4,8.140000,0.306700,7.516503,3.120000,8.689798,3.894974
1901,5,7.730000,0.308300,7.516503,3.126667,8.279532,3.902890
1901,6,8.500000,0.310000,7.516503,3.133333,9.131942,3.910843
1901,7,7.930000,0.311700,7.611652,3.140000,8.547471,3.918836
1901,8,8.040000,0.313300,7.706793,3.146667,8.694177,3.926867
1901,9,8.000000,0.315000,7.801942,3.153333,8.679308,3.934937
1901,10,7.910000,0.316700,7.801942,3.160000,8.610299,3.943047
1901,11,8.080000,0.318300,7.897091,3.166667,8.824223,3.951195
1901,12,7.950000,0.320000,7.992232,3.173333,8.711372,3.959384
1902,1,8.120000,0.320800,7.897091,3.180000,8.926946,3.967611
1902,2,8.190000,0.321700,7.897091,3.190000,9.033375,3.974756
1902,3,8.200000,0.322500,7.897091,3.200000,9.074048,3.981949
1902,4,8.480000,0.323300,7.992232,3.210000,9.413707,3.989189
1902,5,8.460000,0.324200,8.087381,3.220000,9.421496,3.996478
1902,6,8.410000,0.325000,8.182514,3.230000,9.395975,4.003815
1902,7,8.600000,0.325800,8.182514,3.240000,9.638583,4.011200
1902,8,8.830000,0.326700,8.087381,3.250000,9.926872,4.018633
1902,9,8.850000,0.327500,8.182514,3.260000,9.980038,4.026116
1902,10,8.570000,0.328300,8.753425,3.270000,9.695137,4.033648
1902,11,8.240000,0.329200,8.467929,3.280000,9.352847,4.041229
1902,12,8.050000,0.330000,8.563094,3.290000,9.168401,4.048859
1903,1,8.460000,0.331700,8.658260,3.300000,9.666845,4.056539
1903,2,8.410000,0.333300,8.658260,3.308333,9.641449,4.064840
1903,3,8.080000,0.335000,8.372845,3.316667,9.295133,4.073187
1903,4,7.750000,0.336700,8.372845,3.325000,8.947783,4.081581
1903,5,7.600000,0.338300,8.182514,3.333333,8.807149,4.090022
1903,6,7.180000,0.340000,8.182514,3.341667,8.353272,4.098509
1903,7,6.850000,0.341700,8.182514,3.350000,8.002475,4.107044
1903,8,6.630000,0.343300,8.182514,3.358333,7.778883,4.115626
1903,9,6.470000,0.345000,8.277679,3.366667,7.624889,4.124256
1903,10,6.260000,0.346700,8.182514,3.375000,7.411453,4.132934
1903,11,6.280000,0.348300,8.087381,3.383333,7.469495,4.141660
1903,12,6.570000,0.350000,8.087381,3.391667,7.849116,4.150434
1904,1,6.680000,0.346700,8.277679,3.400000,8.015048,4.159257
1904,2,6.500000,0.343300,8.467929,3.406667,7.833400,4.168711
1904,3,6.480000,0.340000,8.372845,3.413333,7.843442,4.178210
